line_item_id,invoice_id,product_id,description,quantity,unit,unit_price,total_price
68,11,191928,EGGS LIQUID,1.0,CS,100.35,100.35
69,12,102950,Flour Power,10.0,CS,24.063,240.63
70,12,191928,Eggs Liquid,1.0,CS,100.35,100.35
71,12,3244,Papettis,1.0,EA,5.33,5.33
72,12,160878,Glove Nitrile XL,1.0,CS,35.361,35.36
73,13,102950,FLOUR POWER,12.0,CS,24.063,288.76
74,13,151011,MALT POWDER DIASTATIC+,1.0,BG,119.177,119.18
75,13,33425,JALAPENO SLICED,1.0,CS,51.329,51.33
76,13,3210,MILK OAT,3.0,CS,39.948,119.84
77,13,157301,SESAME SEEDS WHITE+,1.0,CS,80.25,80.25
78,13,109950,SUGAR GRANULATED CANE,1.0,CS,29.147,29.15
79,14,102950,Flour Power,12.0,CS,24.063,288.76
80,14,151011,Malt Powder Diastatic+,1.0,BG,119.177,119.18
81,14,33425,Jalapeno Sliced,1.0,CS,51.329,51.33
82,14,3210,Milk Oat,3.0,CS,39.948,119.84
83,14,157301,Sesam Seeds White+,1.0,CS,80.25,80.25
84,14,109950,Sugar Granulated Cane,1.0,CS,29.147,29.15
85,15,102950,FLOUR POWER,10.0,CS,24.063,240.63
86,15,3204,ALMOND BARISTA BLEND,1.0,CS,41.139,41.14
87,15,191928,EGGS LIQUID,1.0,CS,95.225,95.23
88,15,41810,LIMONATA CANS,2.0,CS,27.81,55.62
89,16,,"TOMATO, ROMA #",8.0,EA,1.99,15.92
90,16,,"ONION, GREEN 12BN BAG",2.0,EA,10.0,20.0
91,16,,"HERBS, DILL BABY #",1.0,EA,11.0,11.0
92,16,,ONION; WHITE #,10.0,EA,0.99,9.9
93,16,,"ONION, ITALIAN RED #",6.0,EA,0.99,5.94
94,16,,"AVOCADO, 1 LAYER",1.0,EA,39.0,39.0
95,16,,FUEL SURCHARGE,1.0,EA,7.5,7.5
96,17,,"TOMATO, ROMA",10.0,EA,1.99,19.9
97,17,,"CUCUMBER, XFANCY LG",12.0,EA,0.9,10.8
98,17,,"ONION, GREEN 12BN BAG",2.0,BN,10.0,20.0
99,17,,"HERBS, DILL BABY",1.0,EA,11.0,11.0
